SCTID	FullySpecifiedName	DateOfStatusChange	SubsetStatus	SNOMEDStatus
202318002	Ankle joint ankylosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
202383000	Ankle joint effusion (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
298171004	Ankle joint inflamed (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
202490009	Ankle joint pain (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
247373008	Ankle pain (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
419193008	Ankle ulcer (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
9631008	Ankylosing spondylitis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
19483007	Ankylosis of ear ossicles, except malleus (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111227009	Ankylosis of joint (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
427922002	Ankylosis of joint of finger (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
56923001	Ankylosis of joint of hand (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
90242006	Ankylosis of joint of multiple sites (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
73464005	Ankylosis of joint of pelvic region (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
47049007	Ankylosis of spine (disorder)	9/1/2006	ACTIVE	ACTIVE (Current)
50603008	Ankylosis of temporomandibular joint (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
40315008	Annular pancreas (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
26624006	Anodontia (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
186538004	Anogenital herpesviral infection (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
402910001	Anogenital verrucous carcinoma of Buschke-Löwenstein (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
240542006	Anogenital warts (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
204451006	Anomalies of great veins (disorder)	4/1/2007	ACTIVE	ACTIVE (Current)
17869006	Anomalous atrioventricular excitation (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
14482000	Anomalous origin of right subclavian artery (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
17760001	Anomaly of chromosome pair 13 (disorder)	1/1/2008	ACTIVE	ACTIVE (Current)
59033006	Anomaly of chromosome pair 18 (disorder)	1/1/2008	ACTIVE	ACTIVE (Current)
70156005	Anomaly of chromosome pair 21 (disorder)	1/1/2008	ACTIVE	ACTIVE (Current)
23997001	Anomaly of dental arch (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
58244001	Anomaly of divergence (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
95462004	Anomaly of sex chromosome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
81256000	Anomaly of tooth position (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
7183006	Anophthalmos (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
75236001	Anorectal abscess (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
426867001	Anorectal disorder (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
72779005	Anorectal fistula (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
197232005	Anorectal pain (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
56882008	Anorexia nervosa (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
63393005	Anorexia nervosa, binge-eating purging type (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
77675002	Anorexia nervosa, restricting type (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
27585009	Anovular menstruation (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
34571000	Anovulation (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
251663001	Anovulatory (finding)	1/1/2008	ACTIVE	ACTIVE (Current)
4069002	Anoxic brain damage during AND/OR resulting from a procedure (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
389098007	Anoxic encephalopathy (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
292122000	Antacid adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
169583006	Antenatal care: history of perinatal death (situation)	11/1/2006	ACTIVE	ACTIVE (Current)
169580009	Antenatal care: recurrent aborter (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
200233001	Antenatal deep vein thrombosis with antenatal complication (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
370352001	Antenatal screening finding (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
169665005	Antenatal ultrasound scan abnormal (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
49956009	Antepartum deep phlebothrombosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
34842007	Antepartum hemorrhage (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
198918004	Antepartum hemorrhage with coagulation defect - not delivered (disorder)	1/1/2008	ACTIVE	ACTIVE (Current)
267199000	Antepartum hemorrhage with coagulation defect (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
161973001	Anterior chest wall pain (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
14309005	Anterior choroidal artery syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
18377001	Anterior corneal pigmentation (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
37283009	Anterior dislocation of lens (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
232354002	Anterior epistaxis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
85672005	Anterior horn cell disease (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
193130008	Anterior interosseous nerve lesion (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
404659001	Anterior ischemic optic neuropathy (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
63454000	Anterior scleritis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
14363008	Anterior spinal artery compression syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
2972007	Anterior spinal artery occlusion syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111515007	Anterior subcapsular polar senile cataract (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
70992005	Anterior synechiae (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
409498004	Anthrax (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
14972006	Anthrax septicemia (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
292565005	Antiallergenic drug adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
293436009	Antiarrhythmic drug adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
294461000	Antibacterial drug allergy (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
413555000	Antibiotic prophylaxis indicated (situation)	11/1/2006	ACTIVE	ACTIVE (Current)
413556004	Antibiotic resistant tuberculosis (disorder)	6/5/2006	ACTIVE	ACTIVE (Current)
67725009	Antibiotic-induced neuromuscular blocking (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
293331003	Anticoagulant adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
278365007	Anticoagulant-induced bleeding (disorder)	9/1/2006	ACTIVE	ACTIVE (Current)
292275009	Antidepressant drug adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
292125003	Antidiarrheal drug adverse reaction (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
292314001	Antiepileptic adverse reaction (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
292800009	Antifungal drug adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
293495006	Antihypertensive adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
292799005	Anti-infectives adverse reaction (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
292847000	Antimalarial drug adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
292523004	Antimuscarinic adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
293069003	Antimycobacterial agent adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
292196008	Antineoplastic adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
165850001	Anti-nuclear factor positive (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
26843008	Antiphospholipid syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
293059009	Antiprotozoal drug adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
26665006	Antisocial personality disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
36351005	Antithrombin III deficiency (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
292826004	Antiviral drug adverse reaction (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
2472002	Anuria (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
48694002	Anxiety (finding)	5/6/2006	ACTIVE	ACTIVE (Current)
197480006	Anxiety disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
52910006	Anxiety disorder due to a general medical condition (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
69479009	Anxiety hyperventilation (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
198288003	Anxiety state (finding)	11/1/2006	ACTIVE	ACTIVE (Current)
231470001	Anxiolytic dependence (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
312936002	Anxiolytic-induced organic mental disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
67362008	Aortic aneurysm (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
233972005	Aortic bifurcation embolus (disorder)	5/6/2006	ACTIVE	ACTIVE (Current)
251036003	Aortic root dilatation (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
8722008	Aortic valve disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
60234000	Aortic valve regurgitation (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
67754003	Aortic valve sclerosis (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
60573004	Aortic valve stenosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
233956002	Aortoiliac atherosclerosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
63661009	Apert's syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
24010005	Aphakia (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
231923006	Aphakic corneal edema (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
15374009	Aphakic glaucoma (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
87486003	Aphasia (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
36785009	Aphasia-angular gyrus syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
426567008	Aphthous ulcer of male genital organ (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
39273001	Apical periodontitis (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
35484002	Aplasia cutis congenita (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
306058006	Aplastic anemia (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
69075005	Aplastic crisis (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
1023001	Apnea (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
13094009	Apnea in the newborn (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
254725004	Apocrine cystadenoma (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
29874009	Appendiceal colic (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
235771005	Appendix mass (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
269813009	Appetite loss - anorexia (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
289163007	Appetite problem (finding)	1/1/2008	ACTIVE	ACTIVE (Current)
68345001	Apraxia (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
87715008	Aptyalism (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
238695001	Aquagenic pruritus (disorder)	12/1/2006	ACTIVE	ACTIVE (Current)
33595009	Arachnoid cyst (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
237717004	Arachnoid cyst of pituitary (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
8217007	Arachnoiditis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
16766000	Arbovirus hemorrhagic fever (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
231925004	Arcus juvenilis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111522004	Arcus senilis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
248830009	Areola finding (finding)	1/1/2008	ACTIVE	ACTIVE (Current)
21328003	Argentous corneal deposit (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
23501004	Arginase deficiency (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
41013004	Argininosuccinate lyase deficiency (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
4129001	Argyll-Robertson pupil (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
269329008	Arm sprain - upper (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
36964004	Arrest of bone development AND/OR growth (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
24699006	Arrested active phase of labor (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
403741004	Arsenical keratosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
233981004	Arterial aneurysm (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
54687002	Arterial embolism (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
50821009	Arterial retinal branch occlusion (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
234024001	Arterial steal syndrome (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
413577001	Arterial thoracic outlet syndrome due to cervical rib (disorder)	9/1/2006	ACTIVE	ACTIVE (Current)
65198009	Arterial thrombosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
31742004	Arteriohepatic dysplasia (disorder)	12/1/2006	ACTIVE	ACTIVE (Current)
282347007	Arteriopathic impotence (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
429673002	Arteriosclerosis in coronary artery bypass graft (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
191464005	Arteriosclerotic dementia with delirium (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
49176002	Arteriosclerotic gangrene (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
72092001	Arteriosclerotic vascular disease (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
234147002	Arteriovenous angioma (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
312638003	Arteriovenous disorder (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
302946006	Arteriovenous fistula aneurysm (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
234207004	Arteriovenous fistula hemorrhage (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
234206008	Arteriovenous fistula infection (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
111289009	Arteriovenous fistula of pulmonary vessels (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
234203000	Arteriovenous fistula stenosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
234205007	Arteriovenous fistula thrombosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
280974009	Arteriovenous graft hemorrhage (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
280973003	Arteriovenous graft infection (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
280971001	Arteriovenous graft stenosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
280972008	Arteriovenous graft thrombosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
280977002	Arteriovenous shunt hemorrhage (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
280979004	Arteriovenous shunt thrombosis (disorder)	1/1/2008	ACTIVE	ACTIVE (Current)
52089001	Arteritis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
91943004	Arthralgia of temporomandibular joint (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
267954009	Arthralgia of the ankle and/or foot (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
267951001	Arthralgia of the forearm (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
267953003	Arthralgia of the lower leg (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
267952008	Arthralgia of the pelvic region and thigh (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
267950000	Arthralgia of the upper arm (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
3723001	Arthritis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
1679003	Arthritis associated with another disorder (disorder)	2/1/2007	ACTIVE	ACTIVE (Current)
239782006	Arthritis due to parasitic infection (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
239780003	Arthritis due to viral infection (disorder)	12/1/2006	ACTIVE	ACTIVE (Current)
371081002	Arthritis of knee (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
428104002	Arthritis of midtarsal joint (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
371082009	Arthritis of spine (disorder)	9/1/2006	ACTIVE	ACTIVE (Current)
91944005	Arthritis of temporomandibular joint (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111246005	Arthrogryposis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
399269003	Arthropathy (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
23961005	Arthropathy associated with a hematological disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
53338001	Arthropathy associated with a hypersensitivity reaction (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111214005	Arthropathy associated with a mycosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
67536000	Arthropathy associated with a neurological disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
81973005	Arthropathy associated with a respiratory disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
39710007	Arthropathy associated with an endocrine AND/OR metabolic disorder (disorder)	9/1/2006	ACTIVE	ACTIVE (Current)
35524003	Arthropathy associated with another disorder (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
91291006	Arthropathy associated with another systemic disease (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111212009	Arthropathy associated with bacterial disease (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201732000	Arthropathy associated with dermatological disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111215006	Arthropathy associated with helminthiasis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201726005	Arthropathy associated with non-infective gastrointestinal disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
39992005	Arthropathy associated with nonspecific urethritis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
111213004	Arthropathy associated with viral disease (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
62918002	Arthropathy in Behcet's syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201492003	Arthropathy in Behcet's syndrome of multiple sites (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201491005	Arthropathy in Behcet's syndrome of the ankle and/or foot (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201487000	Arthropathy in Behcet's syndrome of the forearm (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201488005	Arthropathy in Behcet's syndrome of the hand (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201490006	Arthropathy in Behcet's syndrome of the lower leg (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201489002	Arthropathy in Behcet's syndrome of the pelvic region and thigh (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201485008	Arthropathy in Behcet's syndrome of the shoulder region (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201486009	Arthropathy in Behcet's syndrome of the upper arm (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201728006	Arthropathy in Crohn's disease (disorder)	12/1/2006	ACTIVE	ACTIVE (Current)
201727001	Arthropathy in ulcerative colitis (disorder)	12/1/2006	ACTIVE	ACTIVE (Current)
427500003	Arthropathy of cervical spine facet joint (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
428106000	Arthropathy of multiple joints associated with a neurological disorder (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
128268005	Arthropathy of pelvis (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
429643006	Arthropathy of the elbow associated with a neurological disorder (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
427878002	Arthropathy of the hand associated with a neurological disorder (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
428779003	Arthropathy of the knee associated with a neurological disorder (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
427925000	Arthropathy of the wrist associated with a neurological disorder (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
285756005	Arthropod-borne viral encephalitis, vector unknown (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
53417006	Articular cartilage disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
84970007	Articular cartilage disorder of ankle AND/OR foot (disorder)	9/1/2006	ACTIVE	ACTIVE (Current)
90068007	Articular cartilage disorder of hand (disorder)	5/6/2006	ACTIVE	ACTIVE (Current)
84097002	Articular cartilage disorder of multiple sites (disorder)	5/6/2006	ACTIVE	ACTIVE (Current)
202137000	Articular cartilage disorder of the pelvic region and thigh (disorder)	9/1/2006	ACTIVE	ACTIVE (Current)
202133001	Articular cartilage disorder of the shoulder region (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
9051008	Articular cartilage disorder of upper arm (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
91945006	Articular disc disorder of temporomandibular joint (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
427145007	Articulation disorder due to hyperkinesis (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
309523001	Artificial lens present (finding)	8/1/2007	ACTIVE	ACTIVE (Current)
306944007	Arytenoid finding (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
233636000	Asbestos pleurisy (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
22607003	Asbestosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
2435008	Ascariasis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
253640002	Ascending aorta abnormality (disorder)	1/1/2008	ACTIVE	ACTIVE (Current)
389026000	Ascites (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
76169001	Ascorbic acid deficiency (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
301770000	Aseptic meningitis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
398199007	Aseptic necrosis of bone (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
424105005	Aseptic necrosis of carpal bone (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
29281007	Aseptic necrosis of head AND/OR neck of femur (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
83453001	Aseptic necrosis of head of humerus (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
17926002	Aseptic necrosis of medial femoral condyle (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
38079004	Aseptic necrosis of pancreas (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
43453000	Aseptic necrosis of talus (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
427887006	Aseptic necrosis of vertebral body (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
48236007	Asherman syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
166669000	Aspartate aminotransferase (AST)/serum glutamic oxaloacetic transaminase (SGOT) level raised (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
23560001	Asperger's disorder (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
65553006	Aspergillosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
28314004	Asphyxia, in liveborn infant (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
278692007	Aspiration into lower respiratory tract (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
427827009	Aspiration into main bronchus (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
413585005	Aspiration into respiratory tract (finding)	1/1/2008	ACTIVE	ACTIVE (Current)
62329009	Aspiration of foreign body (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
83608006	Aspiration pneumonia due to inhalation of milk (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
42004004	Aspiration pneumonia due to inhalation of vomitus (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
75426006	Aspiration pneumonia due to regurgitated food (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
40786001	Aspiration pneumonia due to regurgitated gastric secretions (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
44549008	Aspiration pneumonia resulting from a procedure (disorder)	1/1/2008	ACTIVE	ACTIVE (Current)
292044008	Aspirin adverse reaction (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
293586001	Aspirin allergy (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
295135004	Aspirin overdose (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
233686006	Aspirin-sensitive asthma with nasal polyps (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
71802006	Astasia-abasia (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
89105000	Asteatosis cutis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
201077008	Asteatotic eczema (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
95800001	Asteroid hyalosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
13791008	Asthenia (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
24463005	Asthenozoospermia (finding)	5/6/2006	ACTIVE	ACTIVE (Current)
195967001	Asthma (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
57546000	Asthma with status asthmaticus (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
55570000	Asthma without status asthmaticus (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
405944004	Asthmatic bronchitis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
233691007	Asthmatic pulmonary eosinophilia (disorder)	2/1/2007	ACTIVE	ACTIVE (Current)
82649003	Astigmatism (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
254938000	Astrocytoma of brain (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
51409009	Asymmetric crying face association (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
427772009	Asymmetrical hearing loss (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
428887009	Asymmetrical sensorineural hearing loss (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
235082006	Asymmetry of mandible (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
235083001	Asymmetry of maxilla (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
199101006	Asymptomatic bacteriuria in pregnancy - not delivered (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
31563000	Asymptomatic bacteriuria in pregnancy (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
91947003	Asymptomatic human immunodeficiency virus infection (disorder)	8/1/2007	ACTIVE	ACTIVE (Current)
37754005	Asymptomatic neurosyphilis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
225444004	At risk for suicide (finding)	4/1/2007	ACTIVE	ACTIVE (Current)
161639008	At risk of heart disease (finding)	4/1/2007	ACTIVE	ACTIVE (Current)
20262006	Ataxia (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
68504005	Ataxia-telangiectasia syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
278512001	Ataxic cerebral palsy (disorder)	9/1/2006	ACTIVE	ACTIVE (Current)
25136009	Ataxic gait (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
46621007	Atelectasis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
