snomedid|term
P1-17A70|Arthrodesis of interphalangeal joint of finger with internal fixation
P1-30865|Mandril anastomosis
P1-31353|Excision of cardioma
P1-41514|Tattooing of skin of nose
P1-53C10|Electrocoagulation of lesion of pharynx
P3-45460|Special cytopathology procedure, liquefaction of sputum and smear
P1-A3832|Refractive keratoplasty by laser surgery
P1-A3832|PRK - Photorefractive keratectomy
P1-A3832|Excimer phototherapeutic keratectomy
P1-A3832|Keratorefractive laser surgery
P1-A3832|Excimer photorefractive keratectomy
P1-A3832|Photorefractive laser surgery
P1-A3832|Laser keratectomy
P8-80110|Complete upper denture
P8-80110|Insertion of complete upper denture
P8-80110|Insertion of F/- denture
P8-80110|Insertion of full maxillary denture
P8-80110|Insertion of full upper denture
P8-80110|Insertion of complete maxillary denture
P8-80110|Insertion of FU denture
P8-80110|Fit complete upper denture
P8-80110|Insertion of CU denture
P8-80110|Insertion of C/- denture
P1-A4377|Opticociliary neurectomy
P3-59036|Animal inoculation for Mycobacteria
P1-16150|Arthrotomy of elbow
P1-16150|Arthrotomy of elbow, NOS
P3-52630|Bile disk test
P5-D5052|Liver function study with serial images
P7-60400|Electromyography, cranial nerve supplied muscles, unilateral
PA-10140|Search for dangerous objects
P1-83313|Office endometrial curettage
P3-90310|Ferric chloride test, urine
P1-B9352|Pelvic exenteration, female
P1-21107|Nasal septotomy
P1-21107|Incision of nasal septum
P1-11923|Hemimaxillectomy with bone graft or with prosthesis
P1-08001|Cosmetic surgery
P1-08001|Cosmetic surgery, NOS
P1-74720|Transurethral removal of calculus from bladder without incision
P1-54C26|Fulguration of lesion of oesophagus
P1-54C26|Fulguration of lesion of esophagus
P1-61321|Total thyroidectomy
P1-61321|Total thyroidectomy, NOS
P1-61321|Complete thyroidectomy
P1-18880|Trochanterplasty
P1-18880|Trochanterplasty, NOS
P3-70934|Calculus analysis, quantitative, X-ray diffraction
P3-60104|Cold agglutinin measurement
P3-60104|Cold agglutinin measurement, NOS
P1-5B116|Percutaneous aspiration of liver
P1-5B116|Drainage of liver by aspiration
P1-17446|Radical resection of tumour of soft tissue of finger
P1-17446|Radical resection of tumor of soft tissue of finger
P1-41850|Layer closure of wounds of face and ears
P1-41850|Layer closure of wounds of face and ears, NOS
PA-00460|Making patient bed
PA-00460|Making patient bed, NOS
P1-17010|Operative procedure on wrist
P1-17010|Operative procedure on wrist, NOS
P1-0C420|Fragmentation procedure
P1-0C420|Destruction of lesion or structure by fragmentation, NOS
P1-0C420|Fragmentation, NOS
P1-0C420|Fragmentation procedure, NOS
P1-0C420|Destruction of lesion or structure by fragmentation
P1-B9950|Repair of properitoneal hernia
P1-58C50|Destruction of lesion of rectum by cauterization
P1-58C50|Destruction of lesion of rectum by cauterisation
P1-58C50|Cauterization of rectum
P3-91030|Semen analysis, presence and motility of sperm
P8-00320|Radiographic dental examination for personal identification
P3-68144|Mononuclear cell neopterin production assay
P2-40024|Skin fluorescence test by Wood's light
P2-40024|Woods light test
P1-48D20|Mammoplasty with pedicle graft
P1-48D20|Pedicle graft to breast
P1-48D20|Skin pedicle graft to breast
P5-41046|Molegraphy
P9-00300|Intelligence test/WB1
P1-B9A11|Repair of female perineum
P1-75310|Excision of carcinoma of urethra
P1-5113B|Incision and drainage of masticator space by extraoral approach
P1-40E47|Application of dressing, pressure
P1-40E47|Application of pressure garment
P1-B1101|Exploratory thoracotomy
P1-283D6|Decortication of lung and parietal pleurectomy
P1-55350|Total gastrectomy
P1-55350|Complete gastrectomy
P1-55350|Schlatter operation, total gastrectomy
P1-36952|Creation of shunt left-to-right, systemic to pulmonary circulation
P1-36952|Creation of left-to-right shunt, systemic-pulmonary artery
P1-36952|Anastomosis of systemic to pulmonary artery
P1-36952|Creation of systemic-pulmonary artery shunt
P3-55240|Broth microdilution susceptibility test for anaerobes
P3-55240|MIC susceptibility test for anaerobes
P1-20010|Diagnostic procedure on respiratory tract
P1-20010|Diagnostic procedure on respiratory tract, NOS
P1-53006|Operation on hypopharynx
P1-53006|Operation on hypopharynx, NOS
P1-16460|Sequestrectomy of forearm
P1-16460|Sequestrectomy of forearm, NOS
P3-09000|General health panel
P3-09000|General health panel, NOS
P3-58020|Environmental culture
P3-58020|Environmental culture, NOS
P1-75D10|Transplantation of urethral tissue
P1-20030|Operation on lower respiratory tract
P1-20030|Operative procedure on lower respiratory tract
P1-20030|Operative procedure on lower respiratory tract, NOS
P2-53030|Tubeless gastric analysis and measurement
P2-53030|Tubeless gastric analysis and measurement, NOS
P1-31860|Repair of heart septum with tissue graft
P1-31860|Repair of heart septum with tissue graft, NOS
P1-1797D|Repair of tendon of hand by graft or implant of muscle
P1-48317|Excision of cyst of breast
P1-54C30|Chemosurgery of lesion of esophagus
P1-54C30|Chemosurgery of lesion of oesophagus
P1-56542|Cannulation of duodenum
P3-41904|Morphometric analysis, muscle
P5-39090|Transcatheter therapy with bougienage
P5-39090|Transcatheter therapy with bougienage, NOS
P2-40314|Medical galvanism
P3-70320|Immunodiffusion measurement
P3-70320|ID measurement
P3-70320|Immunodiffusion measurement, NOS
P3-70320|Immunodiffusion
P8-70140|Crown lengthening, hard and soft tissue
P8-70140|Surgery for tooth crown lengthening
P1-21A22|Secondary rhinoplasty, intermediate revision with osteotomies
P1-57800|Repair of large intestine
P1-57800|Repair of large bowel
P1-57800|Repair of large intestine, NOS
P1-57800|Repair of large bowel, NOS
P1-17542|Irrigation of muscle of hand
P3-73143|Immunoglobulin A measurement
P3-73143|Immunoglobulin A level
P1-AC804|Eustachian tuboplasty
P1-AC804|Repair of eustachian tube
P1-AC804|Eustachian tuboplasty, NOS
P1-33332|Coronary atherectomy by laser
P1-33332|Percutaneous transluminal laser coronary angioplasty
P1-33332|Percutaneous laser coronary endarterectomy
P1-33332|Laser coronary angioplasty
P1-AB010|Operation on external ear
P1-AB010|Surgical procedure on external ear
P1-AB010|External ear operations
P1-AB010|Surgical procedure on external ear, NOS
P1-AB010|Operation on external ear, NOS
P3-50150|Microbial culture, anaerobic, screen
P1-36102|Exploration of thoracic artery
P1-28316|Lingulectomy of lung
P1-28316|Excision of lingula
P1-28316|Lingulectomy
P3-10760|Fibrinogen assay, thrombin time dilution
P2-36110|Determination of venous pressure
P2-36110|Venous pressure determination
P1-37822|Axillary-brachial artery vascular bypass
P1-37822|Axillo-brachial arterial bypass grafting
P1-83448|Cervicectomy with synchronous colporrhaphy
P1-83448|Anterior and posterior colporrhaphy and amputation of cervix uteri
P1-34822|Fenestration of aortic aneurysm
P3-32000|Bone marrow laboratory procedure
P3-32000|Bone marrow laboratory procedure, NOS
P1-31969|Plication of ventricle of heart
P2-31102|Cardiovascular stress test using bicycle ergometer
P2-31102|Stress test ECG - bicycle
P1-14538|Removal of internal fixation device from pelvis
P0-10270|Hospital admission, under police custody
P1-83060|Operation on uterus supporting structures
P1-83060|Operation on uterus supporting structures, NOS
P1-83060|Operation of supporting structures of uterus
P1-91881|Ventriculocisternostomy, third ventricle, stereotactic method
P1-40C41|Cryotherapy of skin lesion with carbon dioxide
P3-68032|Concanavalin A assay
P3-68032|Con A assay
P5-C0700|Hyperthermia treatment
P5-C0700|Hyperthermia treatment, NOS
P1-13338|Synovectomy of spine
P2-31012|Electrocardiogram with sub-maximal exercise test
P0-05768|Stoppa great prosthesis for reinforcement of visceral sac
P1-83450|Removal of penetrating foreign body from cervix
P1-5630A|Resection of intestine for interposition
P1-5630A|Excision of intestine for interposition
P1-5630A|Excision of intestine for interposition, NOS
P1-5630A|Resection of intestine for interposition, NOS
P1-A4374|Trabeculectomy ab externo
P1-A4374|Trabeculectomy
P1-A4374|Creation of guarded fistula to sclera
P1-A4374|Ocular trabeculectomy
P1-A4374|Creation of subscleral fistula to sclera
P1-C7A00|Anaesthesia for endoscopic procedure on upper extremity
P1-C7A00|Anesthesia for endoscopic procedure on upper extremity
P1-C7A00|Anesthesia for endoscopic procedure on upper extremity, NOS
P1-16A08|Flexorplasty of elbow with extensor advancement
P1-56906|Inversion of diverticulum of small intestine
P1-77841|Correction of chordee with mobilization of urethra
P1-77841|Correction of chordee with mobilisation of urethra
P5-32100|Arteriography of cerebral arteries
P5-32100|Cerebral arteriogram
P5-32100|Angiography of intracranial vessels
P5-32100|Cerebral arteriography
P5-32100|Arteriography of cerebral arteries, NOS
P1-38807|Thrombectomy and repair of venous graft
P1-40D90|Dermal-fat skin graft
P1-86E84|Internal and combined version with extraction
P1-86E84|Obstetrical version with extraction
P1-A2D00|Free graft to conjunctiva
P1-A2D00|Free graft to conjunctiva, NOS
P3-52790|Novobiocin susceptibility test
P1-91236|Drainage of cerebral subdural space by incision or trephination
P1-75C14|Fulguration of urethral polyps
P1-60D60|Transplantation of carotid body
P2-52200|Medical procedure on sigmoid
P2-52200|Medical procedure on sigmoid, NOS
P1-55D20|Rumen transfer
P2-11870|Alcoholism counseling
P2-11870|Alcoholism counselling
P1-82521|Replacement of vaginal packing
P1-82521|Replacement of pack of vagina
P3-74201|Uric acid measurement, urine
P5-C0386|Cobalt 60 teletherapy
P5-C0386|Cobalt therapy
P5-C0386|Cobalt 60 brachytherapy
P5-C0386|Teleradiotherapy with cobalt-60
P1-37365|Aneurysmectomy with graft replacement of lower limb artery
P1-40369|Acne surgery
P1-40369|Acne surgery, NOS
P3-6A150|Mouse toxin neutralisation test
P3-6A150|Mouse toxin neutralization test
P3-6A050|Cell hybridization
P3-6A050|Cell hybridisation
P1-91C10|Destruction of cerebral lesion
P1-18752|Arthroscopically aided anterior cruciate ligament reconstruction
P3-64080|Hepatitis E virus measurement
P3-64080|HEV measurement
P1-07008|Endoscopy and control of hemorrhage
P1-07008|Endoscopy and control of haemorrhage
P3-10550|Protein C, antigenic assay
P1-82938|McCall culdoplasty
P1-19419|Excision of lesion of tarsal and metatarsal
P3-56024|Colicin typing
P1-91522|Insertion of caliper tongs of skull with synchronous skeletal traction
P1-40C20|Dermabrasion
P1-40C20|Sandpapering of skin
P1-40C20|Dermabrasion of skin
P1-40C20|Planing of skin
P1-40C20|Abrasion of skin
P1-40C20|Removal of superficial layer of skin by dermabrasion
P1-40C20|Dermabrasion, NOS
P1-73843|Ureter resection with end-to-end anastomosis
P1-73843|Ureteroureterostomy
P5-D1022|Bone imaging of limited area
P3-05030|Specimen aliquoting
P1-93107|Two stage myelotomy
P1-93107|Two stage tractotomy of spinal cord
P1-A2370|Grattage of conjunctiva
P1-A2370|Grattage of conjunctiva, NOS
P1-A2338|Excision of lesion of eyebrow
P1-30D00|Transplantation of blood vessel
P1-30D00|Transplantation of blood vessel, NOS
P1-23800|Repair of nasal sinus
P1-23800|Repair of nasal sinus, NOS
P1-A4142|Paracentesis of anterior chamber of eye with therapeutic release of aqueous
P1-A4142|Therapeutic evacuation of anterior chamber of eye
P1-A4142|Therapeutic aspiration of anterior chamber of eye
P2-A4232|Optokinetic nystagmus test, bidirectional, with recording
P1-C2730|Anesthesia for procedure on heart with pump oxygenator
P1-C2730|Anaesthesia for procedure on heart with pump oxygenator
P1-B7C37|Lysis of adhesions of spleen
P1-B7C37|Splenolysis
P1-60860|Repair of carotid body
P1-60860|Repair of carotid body, NOS
P1-18E47|Reduction of closed intercondylar spine fractures of knee
P1-03035|Reamputation
P1-03035|Reamputation, NOS
P1-91326|Debridement of compound fracture of skull
P1-91326|Removal of bone fragment of skull with debridement of compound fracture
P2-22370|Inspiration mandatory ventilation therapy, initiation and management
P2-22370|IMV - Intermittent mandatory ventilation
P2-22370|Intermittent mandatory ventilation
P2-22370|IMV therapy
P1-31884|Implantation of mammary artery into ventricle
P1-31884|Anastomosis of thoracic artery to myocardium
P1-31884|Anastomosis of internal mammary artery to myocardium
P1-77860|Simple repair of hypospadias complications
P1-10016|Diagnostic procedure on ligament
P1-10016|Diagnostic procedure on ligament, NOS
P1-26140|Mediastinal tracheostomy
P1-17823|Arthrodesis of wrist joint
P1-17823|Arthrodesis of wrist
P1-17823|Arthrodesis of wrist joint, NOS
P1-17823|Arthrodesis of wrist, NOS
P1-18926|Lengthening of hamstring tendon
P1-18926|Lengthening of hamstring, NOS
P1-95184|Splanchnicotomy
P1-B6312|Excision of umbilicus
P1-B6312|Umbilectomy
P1-B6312|Omphalectomy
P3-49610|Flow cytometry, cell marker analysis
P3-49610|Flow cytometry, cell marker analysis, NOS
P1-315C0|Removal of heart assist system
P1-315C0|Removal of heart assist system, NOS
P1-A4514|Injection of air in anterior chamber of eye
P3-62230|HIV-1 radioimmunoprecipitation assay
P3-62230|Human immunodeficiency virus HIV-1 radioimmunoprecipitation assay
PA-00512|Apical pulse taking
P1-58346|Proctectomy by abdominoperineal resection with colostomy, one stage
P1-91630|Removal of electrodes from brain
P1-91630|Removal of intracranial electrodes
P3-67054|Insulin factor antibody measurement
P1-A2427|Removal of foreign body of lacrimal canaliculi by incision
P5-90200|Radiography of foot
P5-90200|Foot X-ray
P5-90200|Radiography of foot, NOS
P5-C0670|Treatment planning for brachytherapy
P5-C0670|Treatment planning for brachytherapy, NOS
P1-A9C20|Chemodenervation of extraocular muscle
P1-31126|Division of trabeculae carneae cordis
P1-14100|Pelvic osteotomy
P1-14100|Osteotomy of innominate bone
P1-14100|Osteotomy of pelvis
P1-14100|Innominate osteotomy
P1-14100|Pelviotomy
P1-14100|Incision of pelvic bone
P1-10141|Division of tendon sheath
P1-10141|Division of tendon sheath, NOS
P1-10141|Release of tendon sheath, NOS
P1-10141|Transection of tendon sheath, NOS
P1-38D01|Repair of vein with patch graft of tissue
P1-38D01|Grafting of vein with tissue patch
P3-72946|Glucose measurement, fasting
P5-32128|Angiography of pulmonary arteries, bilateral
P7-60624|Manual muscle-testing of total body excluding hands
P1-95365|Cervicothoracic sympathectomy
P1-0D050|Excision of tissue or organ for grafting from donor site
P5-90420|Arthrography of ankle with positive contrast
P1-83E10|Manual replacement of nonobstetric inverted uterus
P1-83E10|Manual nonobstetric repair of inverted uterus
P1-55933|Brunschwig operation, temporary gastrostomy
P3-10580|Prothrombin time, substituted
P3-10580|Prothrombin time (PT) mixing study
P1-16E92|Reduction of fracture of radius with internal fixation
P1-16117|Arthrotomy of glenohumeral joint for infection with removal of foreign body
P1-AC370|Mastoidectomy
P1-AC370|Excision of mastoid
P1-AC370|Excision of mastoid, NOS
P1-AC370|Mastoidectomy, NOS
P1-58C52|Cauterisation of anal sac
P1-58C52|Cauterization of anal sac
P1-11E44|Manipulative reduction of nasal bone fracture with stabilization
P1-11E44|Manipulative reduction of nasal bone fracture with stabilisation
P1-5782B|Sigmoidosigmoidostomy
P1-C3052|Anesthesia for lumbar sympathectomy
P1-C3052|Anaesthesia for lumbar sympathectomy
P1-B9350|Pelvic exenteration
P1-B9350|Pelvic evisceration
P1-B9350|Exenteration of pelvis
P1-B9350|Pelvic exenteration, NOS
P1-25302|Excisional biopsy of larynx
P1-37830|Surgical occlusion of upper limb artery
P1-37830|Surgical occlusion of upper limb artery, NOS
P3-64034|Hepatitis B core antibody measurement, IgM type
P3-78715|Thiocyanate measurement, blood
P1-B2540|Removal of mediastinal drain
P2-A5114|Fitting of spectacles, multifocal
P2-A5114|Fitting of eyeglasses, multifocal
P0-20090|Patient discharge, to legal custody
P1-51C16|Laser beam destruction of lesion of vestibule of mouth
P1-91460|Hypophysectomy
P1-91460|Hypophysectomy, NOS
P1-91460|Excision of pituitary gland
P1-14815|Total replacement of hip
P1-14815|THR - Total hip replacement
P1-14815|Prosthetic total arthroplasty of the hip
P1-14815|Total hip replacement
P1-14815|Total reconstruction of hip with prosthesis
P1-71C01|Destruction of lesion of kidney
P1-71C01|Destruction of lesion of kidney, NOS
P1-61330|Substernal thyroidectomy
P1-61330|Excision of substernal thyroid tissue
P1-61330|Substernal thyroidectomy, NOS
P1-18933|Primary repair of torn ligament of knee, collateral
P1-A1339|Radical orbitomaxillectomy
P1-A1339|Radical orbitomaxillary resection
P1-A1339|Radical orbitomaxillary discission
P1-189A1|Arrest of bone growth of tibia
P1-18145|Lateral retinacula release of knee
P1-18145|Lateral parapatellar release
P1-18145|Lateral retinacular release
P1-18145|Lateral release of knee
P1-71700|Endoscopy of kidney
P1-71700|Nephroscopy, NOS
P1-71700|Endoscopy of kidney, NOS
P1-71700|Nephroscopy
P1-86414|Induced abortion following intra-amniotic injection with hysterotomy
P1-84C62|Bilateral destruction of fallopian tubes
P1-38373|Thrombectomy with catheter of vena cava by leg incision
P1-82150|Incision of hymen
P1-82150|Hymenotomy
P1-82150|Surgical defloration
P5-B9000|Echoencephalography
P5-B9000|Ultrasound of skull, NOS
P5-B9000|Echoencephalography, NOS
P1-A28A2|Repair of telecanthus
P1-A28A2|Correction of telecanthus
P5-D2519|Pulmonary ventilation-perfusion study by radioactive xenon
P5-D2519|Pulmonary xenon flow study
P3-55624|Serum inhibitory titer test
P3-55624|Serum inhibitory titre test
P3-55624|Serum inhibitory titer
P3-55624|Serum inhibitory titre
P3-55624|SIT test
P8-00260|Nutritional counselling for control of dental disease
P8-00260|Nutritional counseling for control of dental disease
P8-00260|Diet advice for dental caries
P1-19347|Partial fasciectomy of plantar fascia
P3-52320|Arylsulfatase test
P3-52320|Arylsulphatase test
P1-41550|Implantation into skin of neck
P1-41550|Implantation into skin of neck, NOS
P3-50620|Quantitative microbial culture, surface streak method
P1-19416|Dewebbing of syndactyly of toes
P1-19416|Dewebbing of congenital syndactyly of toes
P5-70250|Radiologic examination of thoracolumbar spine, standing
P1-10427|Deep biopsy of muscle
P3-72783|Faecal fat measurement, 24-hour collection
P3-72783|Fecal fat measurement, 24-hour collection
P3-21060|Hemolysin detection
P3-21060|Haemolysin detection
P3-21060|Hemolysin detection, NOS
P3-21060|Haemolysin detection, NOS
P1-73E04|Cystostomy with insertion of ureteral catheter
P1-91913|Creation of subarachnoid/subdural-pleural shunt
P1-75802|Suture of urethra
P1-75802|Suture of urethra, NOS
P1-75802|Suture of laceration of urethra
P1-75802|Urethrorrhaphy
P1-75802|Urethrorrhaphy, NOS
P1-74D60|Transposition of bladder tissue
P1-74D60|Transposition of urinary bladder tissue
P1-14306|Local excision of lesion of hip joint
P1-14306|Local excision of lesion of hip joint, NOS
P1-74305|Fine needle biopsy of bladder
P1-74305|Fine needle biopsy of urinary bladder
P1-74305|Fine needle aspiration biopsy of bladder
P1-65D54|Charles operation for correction of lymphedema
P1-65D54|Charles operation for correction of lymphoedema
P1-65D54|Charles excision and split skin graft for lymphedema
P1-65D54|Excision of lymphoedematous tissue plus split skin graft
P1-65D54|Excision of lymphedematous tissue plus split skin graft
P1-65D54|Charles excision and split skin graft for lymphoedema
P2-93600|Nerve conduction study
P2-93600|NCS - Nerve conduction study
P2-93600|Nerve conduction study, NOS
P1-B7C36|Lysis of adhesions of appendix
P1-B7C36|Appendicolysis
P1-12342|Excision of tumor of soft tissue of thorax, subcutaneous
P1-12342|Excision of tumour of soft tissue of thorax, subcutaneous
P3-21020|Antibody identification, RBC
P3-21020|Antibody screen, RBC, each serum
P3-21020|Blood group antibody identification
P3-21020|Blood group antibody, identification
P3-21020|Antibody identification, RBC, NOS
P3-49524|DNA analysis, antenatal, amniotic fluid
P3-49524|Deoxyribonucleic acid analysis, antenatal, amniotic fluid
P1-95367|Thoracolumbar sympathectomy
P3-72238|Calcium measurement, 24H stool
P3-72238|Calcium measurement in 24 hour excretion in faeces
P3-72238|Calcium total measurement, 24 hour excretion in stool
P3-72238|Calcium measurement in 24 hour excretion in feces
P1-57315|Fine needle biopsy of rectum
P1-56008|Repair of jejunostomy
P0-053BF|Anastomosis of oesophagus, antethoracic
P0-053BF|Anastomosis of esophagus, antethoracic
P0-05667|Coeliac ganglia procedure
P0-05667|Celiac ganglia procedure
P0-0569D|Surgical procedure on external ear
P1-03021|Removal of device
P0-56931|Anastomosis of jejunum
P1-93600|Removal of therapeutic shunt device
P1-05533|Removal of electronic monitor device
P1-91027|Replacement of Vinke tongs of skull
P0-051E7|Right colectomy
P0-051E7|Resection of ascending colon, caecum and terminal ileum
P0-051E7|Resection of ascending colon, cecum and terminal ileum
P0-051E7|Right hemicolectomy
P1-1837C|Hemipatellectomy
P1-19A3D|Hoke operation for midtarsal fusion
P2-A5120|Fitting of spectacles, low vision aid, single element
P2-A5120|Fitting of eyeglasses, low vision aid, single element
P1-51812|Repair of mouth laceration
P1-51812|Repair of mouth laceration, NOS
P1-55977|Gastroduodenostomy
P0-00AB5|Gait training education, guidance, and counselling
P0-00AB5|Gait training education, guidance, and counseling
P0-00AB5|Gait training teaching, guidance, and counseling
P0-00AB5|Gait training teaching, guidance, and counselling
P0-00AC3|Signs/symptoms-mental/emotional education, guidance, and counseling
P0-00AC3|Signs/symptoms-mental/emotional education, guidance, and counselling
P0-00AC3|Signs/symptoms-mental/emotional teaching, guidance, and counselling
P0-00AC3|Signs/symptoms-mental/emotional teaching, guidance, and counseling
P0-04151|Coping skills case management
P0-04153|Day care/respite case management
P0-04154|Dressing change/wound care case management
P0-00AD5|Durable medical equipment case management
P2-71306|Hand grip
P2-71306|Hand grip physiologic challenge
P1-31570|Repair of cardiac pacemaker
P1-31570|Repair of cardiac pacemaker, NOS
P2-09120|Selection of animals
P2-09120|Culling of animals
P3-63030|Complement component assay
P3-63030|Complement component assay, NOS
P1-38363|Thrombectomy of abdominal vein
P1-38363|Removal of thrombus of abdominal vein
P1-35342|Removal of thrombus from intracranial artery
P1-35342|Thrombectomy of intracranial artery
P1-35342|Intracranial thrombectomy
P1-12358|Total ostectomy of thorax, ribs or sternum
P1-95310|Needle biopsy of cranial nerve
P1-83423|LOOP electro excision of cervix
P1-83423|Loop diathermy excision of cervix
P1-83423|LEEP procedure of cervix
P1-83423|DLE - Diathermy loop excision of cervix
P1-11341|Excision of lingual torus
P1-11341|Excision of torus mandibularis
P5-D5030|Gastrointestinal protein loss study
P5-D5030|Radionuclide measurement of fecal protein loss
P5-D5030|Radionuclide measurement of gastrointestinal protein loss
P5-D5030|Radionuclide measurement of faecal protein loss
P1-17100|Arthrotomy of wrist
P1-17100|Arthrotomy of wrist, NOS
P1-17100|Incision of joint of wrist
P1-17100|Incision of joint of wrist, NOS
P1-17B55|Plastic operation on claw of forelimb
P5-D1150|Transmission bone density study
P5-D1150|Transmission bone imaging
P5-D1150|Transmission bone imaging, NOS
P5-D1150|Transmission bone density study, NOS
P1-54969|Construction of subcutaneous tunnel without oesophageal anastomosis
P1-54969|Construction of subcutaneous tunnel without esophageal anastomosis
P1-73C40|Extracorporeal shockwave lithotripsy of ureter
P1-73C40|ESWL - Extracorporeal shockwave lithotripsy of ureteric calculus
P1-73C40|Extracorporeal shockwave lithotripsy of ureteric calculus
P8-51450|Restoration, crown, porcelain/ceramic substrate
P1-51314|Excision of lesion of vestibule of mouth with simple repair
P8-00110|Dental consultation and report
P8-00110|Dental examination
P8-00110|Dental consultation and report, NOS
P1-16307|Debridement of open fracture of arm
P1-16307|Debridement of open fracture of arm, NOS
P2-93020|Motor testing
P2-93020|Locomotor test
P2-93020|Motor testing, NOS
P1-34860|Creation of shunt of ascending aorta to pulmonary artery
P1-34860|Waterston operation for aorta-right pulmonary artery anastomosis
P1-34860|Waterston shunt
P1-34860|Anastomosis of ascending aorta to right pulmonary artery
P1-34860|Shunt of ascending aorta to pulmonary artery by Waterston operation
P1-30310|Biopsy of blood vessel
P1-30310|Excisional biopsy of blood vessel, NOS
P1-30310|Biopsy of blood vessel, NOS
P1-30310|Excisional biopsy of blood vessel
P1-74808|Repair of old obstetric laceration of bladder
P1-74808|Repair of old obstetric laceration of urinary bladder
P1-56945|Closure of duodenal fistula
P1-56945|Repair of duodenal fistula
P2-11880|Child guidance education
P2-11880|Child guidance counseling
P2-11880|Child guidance counselling
P3-55230|Broth microdilution susceptibility test
P3-55230|Broth microdilution susceptibility test, NOS
P3-55230|Antibiotic sensitivity, minimum inhibitory concentration (MIC)
P3-55230|MIC - Minimum inhibitory concentration
P3-55230|MIC susceptibility test
P3-55230|Minimum inhibitory concentration
P3-55230|MIC susceptibility test, NOS
P1-10237|Achillotomy
P1-10237|Tenotomy of Achilles tendon
P1-10237|Division of Achilles tendon
P0-058DD|Partial resection of intestine with anastomosis
P0-058DD|Partial resection of intestine with anastomosis, NOS
P1-32180|Aortic valvotomy
P1-32180|AVy - Aortic valvotomy
P1-32180|Valvulotomy of aortic valve
P1-32180|Valvulotomy of aortic valve, NOS
P1-32180|Aortic valvotomy, NOS
P1-26124|Permanent tracheostomy
P1-26124|Terminal tracheostomy
P1-26124|Tracheostomy, fenestration procedure with skin flaps
P1-26124|End tracheostomy
P1-26124|Permanent tracheostomy, NOS
P1-30874|Creation of arterial bypass with nonautogenous graft
P3-62216|HIV-1 passive hemagglutination assay
P3-62216|HIV-1 passive haemagglutination assay
P3-62216|Human immunodeficiency virus HIV-1 passive haemagglutination assay
P3-62216|Human immunodeficiency virus HIV-1 passive hemagglutination assay
P3-73642|Oxygen measurement, partial pressure, arterial
P3-73642|paO2 - Arterial partial pressure of oxygen
P3-73642|PaO>2< measurement
P3-73642|Arterial oxygen tension
P1-A4516|Injection of medication in anterior chamber of eye
P1-11195|Drainage of postzygomatic space
P1-17324|Radical excision of bursa of synovia of flexors of wrist
P3-33100|Stain, acid phosphatase, blood or bone marrow
P5-60041|Retrograde urography with KUB
P1-60112|Incision and exploration of adrenal
P1-60112|Incision and exploration of adrenal, NOS
P1-60112|Exploration of adrenal gland
P0-80010|Chart review by physician, complete
P1-60D40|Transplantation of pituitary gland
P8-40350|Comprehensive orthodontic treatment, permanent dentition, for class I malocclusion
P2-50110|Inspection of mouth
P2-50110|Examination of mouth
P1-8681B|Colpoepisiorrhaphy
P1-18A5B|Osteoplasty of fibula
P1-18A34|Repair of malunion of tibia with sliding graft
P1-19022|Diagnostic procedure on tarsals and metatarsals
P1-19022|Diagnostic procedure on tarsals and metatarsals, NOS
P1-71105|Nephrostomy
P1-71105|Insertion of nephrostomy
P1-16811|Open reduction of closed sternoclavicular dislocation, chronic with fascial graft
P1-10351|Excision of mandible
P1-16463|Partial excision of ulna
P1-A2342|Rhytidectomy of upper eyelid
P1-C2710|Anesthesia for procedure on great vessels of chest with pump oxygenator
P1-C2710|Anaesthesia for procedure on great vessels of chest with pump oxygenator
P1-60160|Incision of pineal gland
P1-60160|Pinealotomy
P1-17951|Repair of cleft hand
P1-17951|Correction of cleft hand
P3-90990|Urinalysis, automated
P3-90990|Urinalysis, automated, NOS
P1-58926|Anal cerclage
P1-81030|Operation on Bartholin's gland
P1-81030|Bartholin's gland operation
P1-81030|Operation on Bartholin's gland, NOS
P1-17709|Arthroscopy of wrist with internal fixation for instability
P3-73814|Porphyrin, quantitative measurement, urine
P3-73814|Urine porphyrins
P3-73814|Urine porphyrin levels
P1-21832|Open reduction of nasal fracture
P1-21832|Open reduction of fracture of nasal bone
P1-AD100|Incision of inner ear
P1-AD100|Incision of inner ear, NOS
P5-C0054|Vaginal cone irradiation
P0-10430|Hospital admission, pre-nursing home placement
P1-55870|Reduction of volvulus of stomach
P1-55870|Gastric volvulus reduction
P3-52030|O-nitrophenyl-beta-o-galactopyranoside test
P1-34326|Thrombectomy of ascending aorta
P1-34326|Removal of thrombus of ascending aorta
P1-60412|Partial excision of pituitary gland by transsphenoidal approach
P1-60412|Partial hypophysectomy by transsphenoidal approach
P1-67710|Endoscopic procedure on spleen
P1-67710|Spleen endoscopy
P1-31012|Diagnostic procedure on papillary muscle of heart
P5-D7400|Testicular imaging
P1-41300|Excision of skin of head and neck
P1-41300|Excision of skin of head and neck, NOS
P3-70350|Immunoelectrophoresis
P3-70350|Immunoelectrophoresis, NOS
P3-70350|IEP
P1-36100|Incision of thoracic artery
P1-36100|Incision of thoracic artery, NOS
P1-36100|Thoracic arteriotomy
P1-36100|Thoracic angiotomy of artery
P1-36100|Thoracic arteriotomy, NOS
P1-36100|Thoracic angiotomy of artery, NOS
