SOURCE 	CLASS	LOINC_CODE	"Rank Order(1 = most frequently ordered)"	CONVENIENCE_NAME	LOINC_LONG_COMMON_NAME	COMPONENT	PROPERTY	TM	SPCMN	SCALE	METHOD	Usually not performed at a referral lab (X)
	MICRO	625-4	469	Bacteria Stl Cult	Bacteria identified in Stool by Culture								
	MOLPATH.MUT	24475-6	470	F2 p.G20210A Bld/T Ql	F2 gene p.G20210A [Presence] in Blood or Tissue by Molecular genetics method								
	CHEM	30318-0	471	Base deficit Bld-sCnc	Base deficit in Blood								
	HEM/BC	743-5	472	Monocytes # Bld Manual	Monocytes [#/volume] in Blood by Manual count								
	DRUG/TOX	5569-9	473	Acetone Ur Ql	Acetone [Presence] in Urine								
	DRUG/TOX	3520-4	474	Cyclosporin Bld-mCnc	Cyclosporine [Mass/volume] in Blood								
	CHEM	32693-4	475	Lactate Bld-sCnc	Lactate [Moles/volume] in Blood								
	COAG	48065-7	476	D dimer FEU PPP-mCnc	Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma								
	CHEM	2110-5	477	B-HCG Preg SerPl Ql	Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Serum or Plasma								
	MICRO	13952-7	478	HBV core Ab Ser Ql EIA	Hepatitis B virus core Ab [Presence] in Serum by Immunoassay								
	MICRO	610-6	479	Bacteria Fld Aerobe Cult	Bacteria identified in Body fluid by Aerobe culture								
	MICRO	5403-1	480	VZV IgG Ser EIA-aCnc	Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay								
	HEM/BC	803-7	481	Toxic Granules Bld Ql Smear	Toxic granules [Presence] in Blood by Light microscopy								
	CHEM	33358-3	482	M Protein SerPl Elph-mCnc	Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis								
	MICRO	65633-0	483	HBV surface Ag Ser Ql Cfm	Hepatitis B virus surface Ag [Presence] in Serum by Confirmatory method								
	CYTO	10524-7	484	Cyto Cervix	Microscopic observation [Identifier] in Cervix by Cyto stain								
	DRUG/TOX	29247-4	485	Sirolimus Bld-mCnc	Sirolimus [Mass/volume] in Blood								
	HEM/BC	739-3	486	Metamyelocytes # Bld Manual	Metamyelocytes [#/volume] in Blood by Manual count								
	CHEM	2889-4	487	Prot 24H Ur-mRate	Protein [Mass/time] in 24 hour Urine								
	ABXBACT	18887-0	488	Cefotetan Susc Islt	Cefotetan [Susceptibility]								
	SPEC	10335-8	489	Color CSF	Color of Cerebral spinal fluid								
	CHEM	2505-6	490	Iron/TIBC SerPl-mRto	Iron/Iron binding capacity.total [Mass ratio] in Serum or Plasma								
	UA	30089-7	491	Trans Cells #/area UrnS HPF	Transitional cells [#/area] in Urine sediment by Microscopy high power field								
	MICRO	20761-3	492	C dif Stl Ql Aggl	Clostridium difficile [Presence] in Stool by Agglutination								
	CHEM	2828-2	493	Potassium Ur-sCnc	Potassium [Moles/volume] in Urine								
	MICRO	29891-9	494	Urea Breath Test Ql	Helicobacter pylori [Presence] in Stomach by urea breath test								
	MICRO	19107-2	495	H capsul Ag Ser RIA-aCnc	Histoplasma capsulatum Ag [Units/volume] in Serum by Radioimmunoassay (RIA)								
	CHEM	2639-3	496	Myoglobin SerPl-mCnc	Myoglobin [Mass/volume] in Serum or Plasma								
	MICRO	5028-6	497	N gonorrhoea rRNA XXX Ql Prb	Neisseria gonorrhoeae rRNA [Presence] in Unspecified specimen by DNA probe								
	CHEM	1922-4	498	Base deficit BldA-sCnc	Base deficit in Arterial blood								
	COAG	48058-2	499	D dimer DDU PPP EIA-mCnc	Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay								
	CHEM	35365-6	500	Vit D+metab SerPl-mCnc	Vitamin D+Metabolites [Mass/volume] in Serum or Plasma								
	HEM/BC	772-4	501	nRBC # Bld Manual	Nucleated erythrocytes [#/volume] in Blood by Manual count								
	HEM/BC	806-0	502	WBC # CSF Manual	Leukocytes [#/volume] in Cerebral spinal fluid by Manual count								
	CHEM	1649-3	503	1,25(OH)2D3 SerPl-mCnc	Calcitriol [Mass/volume] in Serum or Plasma								
	COAG	3181-5	504	Cardiolipin IgG Ser EIA-aCnc	Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay								
	COAG	3182-3	505	Cardiolipin IgM Ser EIA-aCnc	Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay								
	HEM/BC	4546-8	506	Hgb A MFr Bld	Hemoglobin A/Hemoglobin.total in Blood								
	MISC	49541-6	507	Fasting status Patient Ql Reported	Fasting status [Presence] - Reported								
	HEM/BC	4576-5	508	Hgb F MFr Bld	Hemoglobin F/Hemoglobin.total in Blood								
	CHEM	2890-2	509	Prot/Creat Ur-mRto	Protein/Creatinine [Mass ratio] in Urine								
	SERO	33935-8	510	cCP IgG Ser-aCnc	Cyclic citrullinated peptide IgG Ab [Units/volume] in Serum								
	MICRO	16935-9	511	HBV surface Ab Ser-aCnc	Hepatitis B virus surface Ab [Units/volume] in Serum								
	MICRO	5193-8	512	HBV surface Ab Ser EIA-aCnc	Hepatitis B virus surface Ab [Units/volume] in Serum by Immunoassay								
	SERO	20399-2	513	ANA nucleolar Titr Ser	Nuclear Ab pattern.nucleolar [Titer] in Serum								
	UA	25145-4	514	Bacteria UrnS Ql Micro	Bacteria [Presence] in Urine sediment by Light microscopy								
	CELLMARK	24467-3	515	CD3+CD4+ Cells # Bld	CD3+CD4+ (T4 helper) cells [#/volume] in Blood								
	CHEM	33762-6	516	proBNP SerPl-mCnc	Natriuretic peptide.B prohormone [Mass/volume] in Serum or Plasma								
	COAG	48066-5	517	D dimer DDU PPP-mCnc	Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma								
	HEM/BC	4625-0	518	Hgb S MFr Bld	Hemoglobin S/Hemoglobin.total in Blood								
	CHEM	2746-6	519	pH BldV	pH of Venous blood								
	DRUG/TOX	3376-1	520	Barbiturates SerPlBld Ql	Barbiturates [Presence] in Serum, Plasma or Blood								
	MICRO	546-2	521	B-Hem Strep Throat Ql Cult	Streptococcus.beta-hemolytic [Presence] in Throat by Organism specific culture								
	CLIN	21484-1	522	Mother's race	Mother's race								
	CHEM	2021-4	523	pCO2 BldV	Carbon dioxide [Partial pressure] in Venous blood								
	HEM/BC	30446-9	524	Myelocytes # Bld	Myelocytes [#/volume] in Blood								
	HEM/BC	748-4	525	Myelocytes # Bld Manual	Myelocytes [#/volume] in Blood by Manual count								
	MICRO	17898-8	526	Bacteria Throat Aerobe Cult	Bacteria identified in Throat by Aerobe culture								
	MICRO	673-4	527	O and P Prep XXX	Microscopic observation [Identifier] in Unspecified specimen by Ova & Parasite Preparation								
	MICRO	5064-1	528	B burgdor IgM Ser EIA-aCnc	Borrelia burgdorferi IgM Ab [Units/volume] in Serum by Immunoassay								
	SERO	32998-7	529	tTG IgG Ser-aCnc	Tissue transglutaminase IgG Ab [Units/volume] in Serum								
	SERO	56537-4	530	tTG IgG Ser EIA-aCnc	Tissue transglutaminase IgG Ab [Units/volume] in Serum by Immunoassay								
	MICRO	11011-4	531	HCV RNA SerPl PCR-aCnc	Hepatitis C virus RNA [Units/volume] (viral load) in Serum or Plasma by Probe & target amplification method								
	CHEM	12841-3	532	PSA Free MFr SerPl	Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma								
	MICRO	11006-4	533	B burgdor Ab Ser Ql	Borrelia burgdorferi Ab [Presence] in Serum								
	CHEM	2880-3	534	Prot CSF-mCnc	Protein [Mass/volume] in Cerebral spinal fluid								
	CHEM	33944-0	535	Lambda LC Free SerPl-mCnc	Immunoglobulin light chains.lambda.free [Mass/volume] in Serum or Plasma								
	DRUG/TOX	3389-4	536	Benzodiaz SerPl Ql	Benzodiazepines [Presence] in Serum or Plasma								
	MICRO	5206-8	537	HSV1 IgG Ser EIA-aCnc	Herpes simplex virus 1 IgG Ab [Units/volume] in Serum by Immunoassay								
	BLDBK	19066-0	538	Blood Bank Cmnt Patient-Imp	Blood bank comment								
	CHEM	48803-1	539	Neural tube defect risk Fetus	Neural tube defect risk in Fetus								
	HEM/BC	4563-3	540	Hgb C MFr Bld	Hemoglobin C/Hemoglobin.total in Blood								
	SPEC	49049-0	541	Collect Tme XXX	Collection time of Unspecified specimen								
	MICRO	13503-8	542	B burgdor IgM Patrn Ser IB-Imp	Borrelia burgdorferi Ab.IgM band pattern [interpretation] in Serum by Immunoblot (IB)								
	SPEC	14725-6	543	Body fld type	[Type] of Body fluid								
	OB.US	21299-3	544	GA method	Gestational age method								
	HEM/BC	4545-0	545	Hct VFr Bld Spun	Hematocrit [Volume Fraction] of Blood by Centrifugation								
	CHEM	46765-4	546	Sickle Cell Anemia DBS-Imp	Sickle cell anemia newborn screen interpretation								
	SERO	10362-2	547	Endomysium IgA Ser Ql	Endomysium IgA Ab [Presence] in Serum								
	CHEM	49048-2	548	Protein feed time Patient	Protein feed time								
	ABXBACT	18862-3	549	Amoxicillin+Clav Susc Islt	Amoxicillin+Clavulanate [Susceptibility]								
	CHEM	2342-4	550	Glucose CSF-mCnc	Glucose [Mass/volume] in Cerebral spinal fluid								
	ABXBACT	18965-4	551	Penicillin G Susc Islt	Penicillin G [Susceptibility]								
	MICRO	9587-7	552	B burgdor41kD IgM Ser Ql IB	Borrelia burgdorferi 41kD IgM Ab [Presence] in Serum by Immunoblot (IB)								
	DRUG/TOX	18390-5	553	Opiates Ur Ql Cfm	Opiates [Presence] in Urine by Confirmatory method								
	CHEM	10886-0	554	PSA Free SerPl-mCnc	Prostate Specific Ag Free [Mass/volume] in Serum or Plasma								
	HEM/BC	14196-0	555	Retics #	Reticulocytes [#/volume] in Blood								
	CHEM	2695-5	556	Osmolality Ur	Osmolality of Urine								
	MICRO	42481-2	557	HPV Low Risk DNA Cervix Ql bDNA	Human papilloma virus 6+11+42+43+44 DNA [Presence] in Cervix by Probe & signal amplification method								
	MICRO	13951-9	558	HAV Ab Ser Ql EIA	Hepatitis A virus Ab [Presence] in Serum by Immunoassay								
	MICRO	13502-0	559	B burgdor IgG Patrn Ser IB-Imp	Borrelia burgdorferi Ab.IgG band pattern [interpretation] in Serum by Immunoblot (IB)								
	SERO	11090-8	560	ENA SM Ab Ser-aCnc	Smith extractable nuclear Ab [Units/volume] in Serum								
	MICRO	606-4	561	Bacteria CSF Cult	Bacteria identified in Cerebral spinal fluid by Culture								
	MICRO	6561-5	562	T pallidum IgG Ser Ql	Treponema pallidum IgG Ab [Presence] in Serum								
	MICRO	47238-1	563	T pallidum IgG Ser Ql EIA	Treponema pallidum IgG Ab [Presence] in Serum by Immunoassay								
	OB.US	18185-9	564	GA	Gestational age								
	MICRO	9597-6	565	B burgdor93kD IgG Ser Ql IB	Borrelia burgdorferi 93kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	31418-7	566	Heteroph Ab Ser Ql	Heterophile Ab [Presence] in Serum								
	SERO	17792-3	567	ENA SS-A Ab Ser-aCnc	Sjogrens syndrome-A extractable nuclear Ab [Units/volume] in Serum								
	DRUG/TOX	11004-9	568	Tricyclics Ur Ql	Tricyclic antidepressants [Presence] in Urine								
	SERO	17791-5	569	ENA SS-B Ab Ser-aCnc	Sjogrens syndrome-B extractable nuclear Ab [Units/volume] in Serum								
	MICRO	9593-5	570	B burgdor41kD IgG Ser Ql IB	Borrelia burgdorferi 41kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9590-1	571	B burgdor28kD IgG Ser Ql IB	Borrelia burgdorferi 28kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9594-3	572	B burgdor45kD IgG Ser Ql IB	Borrelia burgdorferi 45kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9589-3	573	B burgdor23kD IgG Ser Ql IB	Borrelia burgdorferi 23kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9591-9	574	B burgdor30kD IgG Ser Ql IB	Borrelia burgdorferi 30kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9592-7	575	B burgdor39kD IgG Ser Ql IB	Borrelia burgdorferi 39kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9599-2	576	B burgdor39kD IgM Ser Ql IB	Borrelia burgdorferi 39kD IgM Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9598-4	577	B burgdor23kD IgM Ser Ql IB	Borrelia burgdorferi 23kD IgM Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9595-0	578	B burgdor58kD IgG Ser Ql IB	Borrelia burgdorferi 58kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	9596-8	579	B burgdor66kD IgG Ser Ql IB	Borrelia burgdorferi 66kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	47000-5	580	Candida rRNA Vag Ql Prb	Candida sp rRNA [Presence] in Vaginal fluid by DNA probe								
	MICRO	9588-5	581	B burgdor18kD IgG Ser Ql IB	Borrelia burgdorferi 18kD IgG Ab [Presence] in Serum by Immunoblot (IB)								
	MICRO	44357-2	582	Galactomannan Ag SerPl EIA-aCnc	Galactomannan Ag [Units/volume] in Serum or Plasma by Immunoassay								
	MICRO	6410-5	583	G vaginalis rRNA Genital Ql Prb	Gardnerella vaginalis rRNA [Presence] in Genital specimen by DNA probe								
	MICRO	6568-0	584	T vaginalis rRNA Genital Ql Prb	Trichomonas vaginalis rRNA [Presence] in Genital specimen by DNA probe								
	CHEM	14564-9	585	Hemocult sp2 Stl Ql	Hemoglobin.gastrointestinal [Presence] in Stool --2nd specimen								
	CHEM	2164-2	586	Creat Cl 24H Ur+SerPl-vRate	Creatinine renal clearance in 24 hour								
	MICRO	43371-4	587	Salm/Shig Stl Cult	Salmonella sp/Shigella sp identified in Stool by Organism specific culture								
	MICRO	6331-3	588	Campylobacter Stl Cult	Campylobacter sp identified in Stool by Organism specific culture								
	MICRO	21262-1	589	E coli SLTEC Stl Ql EIA	Escherichia coli shiga-like [Presence] in Stool by Immunoassay								
	SERO	29374-6	590	ENA RNP Ab Ser-aCnc	Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum								
	SPEC	9335-1	591	Appearance Fld	Appearance of Body fluid								
	SPEC	19157-7	592	Tube # CSF	Tube number of Cerebral spinal fluid								
	BDYWGT.ATOM	29463-7	593	Weight	Body weight								
	CHEM	36916-5	594	Kappa LC Free Ser-mCnc	Immunoglobulin light chains.kappa.free [Mass/volume] in Serum								
	CHEM	15189-4	595	Kappa LC/Lambda Ser-mRto	Immunoglobulin light chains.kappa/Immunoglobulin light chains.lambda [Mass ratio] in Serum								
	HEM/BC	4542-7	596	Haptoglob SerPl-mCnc	Haptoglobin [Mass/volume] in Serum or Plasma								
	DRUG/TOX	5640-8	597	Ethanol Bld-mCnc	Ethanol [Mass/volume] in Blood								
	PULM	19993-5	598	FIO2 Gas Dil.rebreath	Oxygen/Inspired gas Inhaled gas by Gas dilution.rebreath								
	MICRO	6420-4	599	H pylori IgA Ser EIA-aCnc	Helicobacter pylori IgA Ab [Units/volume] in Serum by Immunoassay								
	CHEM	14565-6	600	Hemocult sp3 Stl Ql	Hemoglobin.gastrointestinal [Presence] in Stool --3rd specimen								
	CHEM	17842-6	601	Cancer Ag27-29 SerPl-aCnc	Cancer Ag 27-29 [Units/volume] in Serum or Plasma								
	CELLMARK	32515-9	602	CD3+CD4+ Cells # XXX	CD3+CD4+ (T4 helper) cells [#/volume] in Unspecified specimen								
	MICRO	7886-5	603	EBV VCA IgM Ser-aCnc	Epstein Barr virus capsid IgM Ab [Units/volume] in Serum								
	MICRO	5159-9	604	EBV VCA IgM Ser EIA-aCnc	Epstein Barr virus capsid IgM Ab [Units/volume] in Serum by Immunoassay								
	UA	26052-1	605	Renal Epi Cells #/area UrnS HPF	Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field								
	MICRO	7885-7	606	EBV VCA IgG Ser-aCnc	Epstein Barr virus capsid IgG Ab [Units/volume] in Serum								
	MICRO	5157-3	607	EBV VCA IgG Ser EIA-aCnc	Epstein Barr virus capsid IgG Ab [Units/volume] in Serum by Immunoassay								
	UA	33768-3	608	WBC clumps # Ur Auto	Leukocyte clumps [#/volume] in Urine by Automated count								
	CHEM	23811-3	609	AFP adj MoM SerPl	Alpha-1-Fetoprotein [Multiple of the median] adjusted in Serum or Plasma								
	CHEM	3013-0	610	Thyroglob SerPl-mCnc	Thyroglobulin [Mass/volume] in Serum or Plasma								
	ALLERGY	6206-7	611	Peanut IgE Qn	Peanut IgE Ab [Units/volume] in Serum								
	CHEM	2756-5	612	pH Ur	pH of Urine								
	CHEM	46769-6	613	Cystic Fibrosis DBS-Imp	Cystic fibrosis newborn screen interpretation								
	CHEM	2484-4	614	IGF-I SerPl-mCnc	Insulin-like growth factor-I [Mass/volume] in Serum or Plasma								
	CHEM	2118-8	615	HCG Preg SerPl Ql	Choriogonadotropin (pregnancy test) [Presence] in Serum or Plasma								
	ABXBACT	18974-6	616	Rifampin Susc Islt	Rifampin [Susceptibility]								
	HEM/BC	12710-0	617	Hgb Fract Bld-Imp	Hemoglobin pattern [interpretation] in Blood								
	CHEM	34705-4	618	pCO2 temp adj Bld	Carbon dioxide [Partial pressure] adjusted to patients actual temperature in Blood								
	CHEM	19254-2	619	pO2 temp adj Bld	Oxygen [Partial pressure] adjusted to patients actual temperature in Blood								
	MICRO	4993-2	620	C trach rRNA XXX Ql Prb	Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by DNA probe								
	CHEM	1977-8	621	Bilirub Ur Ql	Bilirubin [Presence] in Urine								
	MISC	44877-9	622	IDDM Patient Ql	Insulin dependent diabetes mellitus [Presence]								
	ABXBACT	23641-4	623	Quinupristin+Dalfoprist Islt MIC	Quinupristin+Dalfopristin [Susceptibility] by Minimum inhibitory concentration (MIC)								
	CHEM	46740-7	624	Hemoglobin disorders DBS-Imp	Hemoglobin disorders newborn screen interpretation								
	CHEM	14563-1	625	Hemocult sp1 Stl Ql	Hemoglobin.gastrointestinal [Presence] in Stool --1st specimen								
	MICRO	20447-9	626	HIV1 RNA # SerPl PCR	HIV 1 RNA [#/volume] (viral load) in Serum or Plasma by Probe & target amplification method								
	MICRO	5244-9	627	MeV IgG Ser EIA-aCnc	Measles virus IgG Ab [Units/volume] in Serum by Immunoassay								
	CHEM	2250-9	628	u Estriol SerPl-mCnc	Estriol (E3).unconjugated [Mass/volume] in Serum or Plasma								
	DRUG/TOX	19550-3	629	Methadone Ur Ql Scn	Methadone [Presence] in Urine by Screen method								
	CHEM	49090-4	630	Ts 21risk-age Fetus	Trisomy 21 risk based on maternal age in Fetus								
	PATH	21026-0	631	Path Interp Bld-Imp	Pathologist interpretation of Blood tests								
	CHEM	49543-2	632	Calcidiol+Calciferol SerPl-mCnc	Calcidiol+Calciferol [Mass/volume] in Serum or Plasma								
	CHEM	2761-5	633	Phenylketones Bld Ql	Phenylketones [Presence] in Blood								
	DRUG/TOX	3779-6	634	Methamphet Ur Ql	Methamphetamine [Presence] in Urine								
	UA	35663-4	635	Prot ?Tm Ur-mCnc	Protein [Mass/volume] in unspecified time Urine								
	SPEC	20506-2	636	Specimen drawn from Patient	Specimen drawn from								
	BLDBK	19057-9	637	ABO+Rh Gp Bld NB	ABO & Rh group [Type] in Blood from newborn								
	MICRO	626-2	638	Bacteria Throat Cult	Bacteria identified in Throat by Culture								
	SPEC	13532-7	639	Xanthochromia CSF Ql	Xanthochromia [Presence] of Cerebral spinal fluid								
	HEM/BC	34660-1	640	Hgb A2 MFr Bld Column Chrom	Hemoglobin A2/Hemoglobin.total in Blood by Chromatography column								
	HEM/BC	26454-9	641	RBC # CSF	Erythrocytes [#/volume] in Cerebral spinal fluid								
	SPEC	10333-3	642	Appearance CSF	Appearance of Cerebral spinal fluid								
	UA	5822-2	643	Yeast #/area UrnS HPF	Yeast [#/area] in Urine sediment by Microscopy high power field								
	CHEM	49092-0	644	2nd trimester 4 screen SerPl-Imp	Second trimester quad maternal screen [interpretation] in Serum or Plasma Narrative								
	ALLERGY	6276-0	645	Wheat IgE Qn	Wheat IgE Ab [Units/volume] in Serum								
	ALLERGY	6248-9	646	Soybean IgE Qn	Soybean IgE Ab [Units/volume] in Serum								
	COAG	3281-3	647	LAC PPP-Imp	Lupus anticoagulant [interpretation] in Platelet poor plasma								
	ALLERGY	6095-4	648	D farinae IgE Qn	American house dust mite IgE Ab [Units/volume] in Serum								
	UA	25160-3	649	Gran Casts UrnS Ql Micro	Granular casts [Presence] in Urine sediment by Light microscopy								
	UA	33804-6	650	RBC Casts UrnS Ql Micro	RBC casts [Presence] in Urine sediment by Light microscopy								
	HEM/BC	703-9	651	Baso Stipl Bld Ql Smear	Basophilic stippling [Presence] in Blood by Light microscopy								
	ALLERGY	6020-2	652	A alternata IgE Qn	Alternaria alternata IgE Ab [Units/volume] in Serum								
	SERO	20496-6	653	Gliadin IgG Ser EIA-aCnc	Gliadin IgG Ab [Units/volume] in Serum by Immunoassay								
	MICRO	29541-0	654	HIV1 RNA Plas PCR-Log#	HIV 1 RNA [Log #/volume] (viral load) in Plasma by Probe & target amplification method								
	MICRO	6584-7	655	Virus XXX Cult	Virus identified in Unspecified specimen by Culture								
	DRUG/TOX	19343-3	656	Amphet Ur Ql Scn	Amphetamine [Presence] in Urine by Screen method								
	CHEM	13964-2	657	Methylmalonate SerPl-sCnc	Methylmalonate [Moles/volume] in Serum or Plasma								
	HEM/BC	802-9	658	Spherocytes Bld Ql Smear	Spherocytes [Presence] in Blood by Light microscopy								
	MICRO	10704-5	659	O+P Stl Micro	Ova+Parasites identified in Stool by Light microscopy								
	MICRO	5185-4	660	HBV core IgM Ser EIA-aCnc	Hepatitis B virus core IgM Ab [Units/volume] in Serum by Immunoassay								
	CHEM	49054-0	661	25(OH)D2 SerPl-mCnc	25-Hydroxycalciferol [Mass/volume] in Serum or Plasma								
	ALLERGY	7258-7	662	Cow Milk IgE Qn	Cow milk IgE Ab [Units/volume] in Serum								
	DRUG/TOX	19554-5	663	Methamphet Ur Ql Scn	Methamphetamine [Presence] in Urine by Screen method								
	HEM/BC	10328-3	664	Lymphocytes NFr CSF Manual	Lymphocytes/100 leukocytes in Cerebral spinal fluid by Manual count								
	CHEM	2705-2	665	pO2 BldV	Oxygen [Partial pressure] in Venous blood								
	CHEM	43994-3	666	Ts 18 risk Fetus	Trisomy 18 risk in Fetus								
	DRUG/TOX	14334-7	667	Lithium SerPl-sCnc	Lithium [Moles/volume] in Serum or Plasma								
	MICRO	41477-1	668	Bacterial sialidase XXX Ql	Bacterial sialidase [Presence] in Unspecified specimen								
	CHEM	33254-4	669	pH temp adj BldA	pH of Arterial blood adjusted to patients actual temperature								
	MISC	21612-7	670	Age Time Patient Reported	Age - Reported								
	DRUG/TOX	3432-2	671	Carbamazepine SerPl-mCnc	Carbamazepine [Mass/volume] in Serum or Plasma								
	CHEM	43995-0	672	Ts 21 risk Fetus	Trisomy 21 risk in Fetus								
	MICRO	5124-3	673	CMV IgG Ser EIA-aCnc	Cytomegalovirus IgG Ab [Units/volume] in Serum by Immunoassay								
	DRUG/TOX	10366-3	674	Cotinine Ur-mCnc	Cotinine [Mass/volume] in Urine								
	ALLERGY	6096-2	675	D pteronyss IgE Qn	European house dust mite IgE Ab [Units/volume] in Serum								
	HEM/BC	26473-9	676	WBC Other NFr Fld	Leukocytes other/100 leukocytes in Body fluid								
	CHEM	24108-3	677	Cancer Ag19-9 SerPl-aCnc	Cancer Ag 19-9 [Units/volume] in Serum or Plasma								
	MICRO	5859-4	678	HSV XXX Cult	Herpes simplex virus identified in Unspecified specimen by Organism specific culture								
	UA	5774-5	679	CaOx Cry UrnS Ql Micro	Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy								
	HEM/BC	49121-7	680	RBC inclusions Bld	Erythrocyte inclusion bodies [Identifier] in Blood								
	CHEM	13967-5	681	SHBG SerPl-sCnc	Sex hormone binding globulin [Moles/volume] in Serum or Plasma								
	CHEM	3095-7	682	UUN Ur-mCnc	Urea nitrogen [Mass/volume] in Urine								
	ALLERGY	6025-1	683	A fumigatus IgE Qn	Aspergillus fumigatus IgE Ab [Units/volume] in Serum								
	CHEM	21264-7	684	u Estriol adj MoM SerPl	Estriol (E3).unconjugated [Multiple of the median] adjusted in Serum or Plasma								
	MICRO	25836-8	685	HIV1 RNA # XXX PCR	HIV 1 RNA [#/volume] (viral load) in Unspecified specimen by Probe & target amplification method								
	SURVEY.RFC	46640-9	686		Secondary diagnosis RFC								
	MISC	42216-2	687	Ref Lab Name	Reference lab name [Identifier]								
	CHEM	48391-7	688	CO2 BldV Calc-sCnc	Carbon dioxide, total [Moles/volume] in Venous blood by calculation								
	CHEM	35678-2	689	Sodium ?Tm Ur-sCnc	Sodium [Moles/volume] in unspecified time Urine								
	PATH	10459-6	690	AFP Ag Tiss Ql ImStn	Alpha-1-Fetoprotein Ag [Presence] in Tissue by Immune stain								
	UA	5793-5	691	Gran Casts #/area UrnS LPF	Granular casts [#/area] in Urine sediment by Microscopy low power field								
	ALLERGY	6099-6	692	Dog Epith IgE Qn	Dog epithelium IgE Ab [Units/volume] in Serum								
	SERO	34701-3	693	Heparin Ind Platelet Ab Ser Ql	Platelet Ab.heparin induced [Presence] in Serum								
	SERO	20495-8	694	Gliadin IgA Ser EIA-aCnc	Gliadin IgA Ab [Units/volume] in Serum by Immunoassay								
	CHEM	1761-6	695	Aldolase SerPl-cCnc	Aldolase [Enzymatic activity/volume] in Serum or Plasma								
	UA	8248-7	696	Sperm UrnS Ql Micro	Spermatozoa [Presence] in Urine sediment by Light microscopy								
	CHEM	2078-4	697	Chloride Ur-sCnc	Chloride [Moles/volume] in Urine								
	MICRO	31374-2	698	EBV NA IgG Ser-aCnc	Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum								
	MICRO	30083-0	699	EBV NA IgG Ser EIA-aCnc	Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum by Immunoassay								
	CHEM	47223-3	700	Ts 18 risk-Age Fetus	Trisomy 18 risk based on maternal age in Fetus								
	CHEM	1986-9	701	C peptide SerPl-mCnc	C peptide [Mass/volume] in Serum or Plasma								
	CHEM	23883-2	702	Inhibin A Ser-mCnc	Inhibin A [Mass/volume] in Serum								
	MICRO	34468-9	703	C dif Tox A+B Stl Ql EIA	Clostridium difficile toxin A+B [Presence] in Stool by Immunoassay								
	CHEM	2881-1	704	Prot Fld-mCnc	Protein [Mass/volume] in Body fluid								
	COAG	3243-3	705	TT Time PPP	Thrombin time in Platelet poor plasma by Coagulation assay								
	DRUG/TOX	19270-8	706	Barbiturates Ur Ql Scn	Barbiturates [Presence] in Urine by Screen method								
	CHEM	15432-8	707	Testost Free MFr SerPl	Testosterone Free/Testosterone.total in Serum or Plasma								
	HEM/BC	26466-3	708	WBC # Fld	Leukocytes [#/volume] in Body fluid								
	MICRO	21440-3	709	HPV I/H Risk DNA Cervix Ql Prb	Human papilloma virus 16+18+31+33+35+45+51+52+56 DNA [Presence] in Cervix by DNA probe								
	DRUG/TOX	3948-7	710	Phenobarb SerPl-mCnc	Phenobarbital [Mass/volume] in Serum or Plasma								
	CHEM	10835-7	711	LPa SerPl-mCnc	Lipoprotein a [Mass/volume] in Serum or Plasma								
	MICRO	22330-5	712	HDV Ab Ser-aCnc	Hepatitis D virus Ab [Units/volume] in Serum								
	SPEC	38526-0	713	# Spec Tst Stl	Number of specimens tested of Stool								
	MICRO	40752-8	714	EBV EA IgG Ser Ql EIA	Epstein Barr virus early IgG Ab [Presence] in Serum by Immunoassay								
	ALLERGY	6833-8	715	Cat Dander IgE Qn	Cat dander IgE Ab [Units/volume] in Serum								
	UA	5813-1	716	T vaginalis UrnS Ql Micro	Trichomonas vaginalis [Presence] in Urine sediment by Light microscopy								
